,age,inheritance,payment,principal,coupon,prob_survival,prob_dying,prob_death,TIPS,annuity_payment,annuity_cost,discount,annuity_purchase,annuity_benefit,total_cost,tips_cost,annuity_cost2
22,88,7659.48340738512,1000.0,926.0475616919822,8.612242323735433,0.5150584588411125,0.06330149034784449,0.034807323514386576,0.0093,1916.103408860782,559.2764900067845,0.5666972380401503,0.0,0.0,12099.046513117712,7659.48340738512,4439.563105732591
23,89,6733.435845693138,1000.0,934.6598040157176,8.785802157747746,0.47948937475459463,0.0690583437199511,0.035569084086517835,0.0094,1973.5865111266057,523.1935564713858,0.5528753541855125,0.0,0.0,11591.511455385054,6733.435845693138,4858.075609691917
24,90,5798.77604167742,1000.0,943.4456061734653,8.962733258647921,0.4433754920214788,0.0753173785166754,0.036113882733115825,0.0095,2032.794106460404,486.1479307525652,0.5393905894492805,0.0,0.0,11147.690730737435,5798.77604167742,5348.914689060016
25,91,4855.3304355039545,1000.0,952.4083394321133,9.143120058548286,0.40696626750775694,0.0821182613132755,0.036409224513721895,0.0096,2093.777929654216,448.403021635377,0.5262347214139322,0.0,0.0,10784.540554638206,4855.3304355039545,5929.210119134253
26,92,3902.922096071841,1000.0,961.5514594906615,9.327049157059417,0.3705415732909599,0.0895029812663841,0.03642469421679703,0.0097,2156.5912675438426,410.26117348474196,0.5133997282087144,0.0,0.0,10524.080482780802,3902.922096071841,6621.15838670896
27,93,2941.3706365811795,1000.0,970.878508647721,9.514609384747665,0.33440790844200174,0.0975158186112222,0.03613366484895814,0.0098,2221.2890055701578,372.0603374509424,0.500877783618258,0.0,0.0,10395.197729629868,2941.3706365811795,7453.827093048688
28,94,1970.4921279334587,1000.0,980.3931180324687,9.70589186852144,0.2988926952893542,0.10620326928903105,0.03551521315264755,0.0099,2287.9276757372627,334.1684903786326,0.4886612523104956,0.0,0.0,10436.205907667425,1970.4921279334587,8465.713779733966
29,95,990.09900990099,1000.0,990.09900990099,9.900990099009901,0.26433654034608584,0.11561391592328803,0.034556154943268344,0.01,2356.5655060093804,296.9755917137745,0.4767426851809714,0.0,0.0,10698.521882878975,990.09900990099,9708.422872977984
30,96,0.0,0.0,0.0,0.0,0.23108347039183616,0.125798233988811,0.03325306995424968,0.0,2427.262471189662,260.8830091127332,0.4651148148107038,260.8830091127332,2427.262471189662,0.0,0.0,0.0
31,97,0.0,0.0,0.0,0.0,0.1994693288906723,0.136808320593236,0.03161414150116388,0.0,2500.080345325352,226.2905405342943,0.45377055103483305,226.2905405342943,2500.080345325352,0.0,0.0,0.0
32,98,0.0,0.0,0.0,0.0,0.1698087320019266,0.148697531864673,0.02966059688874568,0.0,2575.0827556851127,193.58141126116845,0.4427029766193494,193.58141126116845,2575.0827556851127,0.0,0.0,0.0
33,99,0.0,0.0,0.0,0.0,0.14238122330245118,0.161520013583072,0.027427508699475415,0.0,2652.335238355666,163.10591537305302,0.4319053430432677,163.10591537305302,2652.335238355666,0.0,0.0,0.0
34,100,0.0,0.0,0.0,0.0,0.11741750797191242,0.17533010850391398,0.02496371533053877,0.0,2731.905295506336,135.1646767405438,0.4213710663836759,135.1646767405438,2731.905295506336,0.0,0.0,0.0
35,101,0.0,0.0,0.0,0.0,0.0950868557451671,0.19018162293213592,0.02233065222674531,0.0,2813.8624543715264,109.99278471178299,0.41109372330114724,109.99278471178299,2813.8624543715264,0.0,0.0,0.0
36,102,0.0,0.0,0.0,0.0,0.07548689364180686,0.20612693468262497,0.019599962103360243,0.0,2898.2783280026724,87.74626188955648,0.4010670471230705,87.74626188955648,2898.2783280026724,0.0,0.0,0.0
37,103,0.0,0.0,0.0,0.0,0.05863701686515672,0.2232159248280179,0.01684987677665014,0.0,2985.2266778427525,68.49238620334441,0.39128492402250786,68.49238620334441,2985.2266778427525,0.0,0.0,0.0
38,104,0.0,0.0,0.0,0.0,0.04447648708015567,0.241494716853775,0.01416052978500105,0.0,3074.7834781780352,52.20526038462848,0.3817413892902516,52.20526038462848,3074.7834781780352,0.0,0.0,0.0
39,105,0.0,0.0,0.0,0.0,0.0328679367356479,0.261004209338449,0.011608550344507772,0.0,3167.0269825233763,38.76766019987277,0.37243062369780644,38.76766019987277,3167.0269825233763,0.0,0.0,0.0
40,106,0.0,0.0,0.0,0.0,0.023606462359674833,0.281778392433385,0.009261474375973064,0.0,3262.037791999078,27.9795945046433,0.3633469499490795,27.9795945046433,3262.037791999078,0.0,0.0,0.0
41,107,0.0,0.0,0.0,0.0,0.016433817126546263,0.303842444659606,0.007172645233128573,0.0,3359.89892575905,19.573221749327846,0.3544848292186142,19.573221749327846,3359.89892575905,0.0,0.0,0.0
42,108,0.0,0.0,0.0,0.0,0.011056497712277834,0.32721061533429197,0.005377319414268429,0.0,3460.6958935318216,13.232893162102839,0.34583885777425777,13.232893162102839,3460.6958935318216,0.0,0.0,0.0
43,109,0.0,0.0,0.0,0.0,0.007165894069063998,0.3518839097568359,0.003890603643213836,0.0,3564.5167703377765,8.618287325065776,0.3374037636822027,8.618287325065776,3564.5167703377765,0.0,0.0,0.0
44,110,0.0,0.0,0.0,0.0,0.004458278124703535,0.377847609560621,0.0027076159443604635,0.0,3671.45227344791,5.38804361229909,0.3291744035923929,5.38804361229909,3671.45227344791,0.0,0.0,0.0
45,111,0.0,0.0,0.0,0.0,0.0026523692909677416,0.405068679705998,0.001805908833735794,0.0,3781.5958416513477,3.2211525629939177,0.3211457596023346,3.2211525629939177,3781.5958416513477,0.0,0.0,0.0
46,112,0.0,0.0,0.0,0.0,0.0015025854076195872,0.433493136594356,0.0011497838833481543,0.0,3895.0437169008883,1.8337065229884073,0.31331293619739964,1.8337065229884073,3895.0437169008883,0.0,0.0,0.0
47,113,0.0,0.0,0.0,0.0,0.0008068230336545204,0.4630434785516129,0.0006957623739650669,0.0,4011.895028407915,0.9894237036285897,0.3056711572657558,0.9894237036285897,4011.895028407915,0.0,0.0,0.0
48,114,0.0,0.0,0.0,0.0,0.0004085620250984715,0.4936163098270981,0.0003982610085560489,0.0,4132.251879260152,0.5034720653401215,0.2982157631861032,0.5034720653401215,4132.251879260152,0.0,0.0,0.0
49,115,0.0,0.0,0.0,0.0,0.00019403414580874856,0.525080321006382,0.00021452787928972293,0.0,4256.219435637957,0.240275176003114,0.29094220798644216,0.240275176003114,4256.219435637957,0.0,0.0,0.0
50,116,0.0,0.0,0.0,0.0,8.590380208263633e-05,0.557274820240618,0.00010813034372611223,0.0,4383.906018707095,0.10689477717300162,0.28384605657213874,0.10689477717300162,4383.906018707095,0.0,0.0,0.0
51,117,0.0,0.0,0.0,0.0,3.521978246912343e-05,0.5900090378392882,5.06840196135129e-05,0.0,4515.423199268308,0.04403967738478757,0.2769229820215988,0.04403967738478757,4515.423199268308,0.0,0.0,0.0
52,118,0.0,0.0,0.0,0.0,1.3275658610202744e-05,0.6230624473095119,2.194412385892069e-05,0.0,4650.885895246357,0.016681184840138027,0.2701687629479013,0.016681184840138027,4650.885895246357,0.0,0.0,0.0
53,119,0.0,0.0,0.0,0.0,4.56435259718495e-06,0.656186353445613,8.711306013017794e-06,0.0,4790.412472103748,0.0057631956667294456,0.2635792809247818,0.0057631956667294456,4790.412472103748,0.0,0.0,0.0
54,120,0.0,0.0,0.0,0.0,1.419025335120435e-06,0.689106986170259,3.1453272620645153e-06,0.0,4934.12484626686,0.0018004774519254846,0.2571505179753969,0.0018004774519254846,4934.12484626686,0.0,0.0,0.0
55,121,0.0,0.0,0.0,0.0,3.951555586100279e-07,0.721530300530899,1.023869776510407e-06,0.0,5082.148591654866,0.0005038241633041366,0.25087855412233845,0.0005038241633041366,5082.148591654866,0.0,0.0,0.0
56,122,0.0,0.0,0.0,0.0,9.754469818812483e-08,0.753148611824565,2.9761086042190306e-07,0.0,5234.613049404513,0.00012497637554262613,0.2447595649974034,0.00012497637554262613,5234.613049404513,0.0,0.0,0.0
57,123,0.0,0.0,0.0,0.0,2.407904415689245e-08,0.753148611824565,7.346565403123239e-08,0.0,5391.651440886649,3.100108248349922e-05,0.23878981950966188,3.100108248349922e-05,5391.651440886649,0.0,0.0,0.0
58,124,0.0,0.0,0.0,0.0,5.943945476066497e-09,0.753148611824565,1.8135098680825953e-08,0.0,5553.400984113248,7.689990295973395e-06,0.23296567757040185,7.689990295973395e-06,5553.400984113248,0.0,0.0,0.0
59,125,0.0,0.0,0.0,0.0,1.4672711920061113e-09,0.753148611824565,4.476674284060386e-09,0.0,5720.003013636646,1.9075447053708846e-06,0.2272835878735628,1.9075447053708846e-06,5720.003013636646,0.0,0.0,0.0
60,126,0.0,0.0,0.0,0.0,3.621979305765337e-10,0.753148611824565,1.1050732614295776e-09,0.0,5891.603104045746,4.7317703442276e-07,0.22174008573030518,4.7317703442276e-07,5891.603104045746,0.0,0.0,0.0
61,127,0.0,0.0,0.0,0.0,8.940906195708716e-11,0.753148611824565,2.7278886861944655e-10,0.0,6068.351197167118,1.1737418539901825e-07,0.21633179095639532,1.1737418539901825e-07,6068.351197167118,0.0,0.0,0.0
62,128,0.0,0.0,0.0,0.0,2.2070751059570434e-11,0.753148611824565,6.733831089751671e-11,0.0,6250.401733082132,2.9115317092448565e-08,0.2110554058111174,2.9115317092448565e-08,6250.401733082132,0.0,0.0,0.0
63,129,0.0,0.0,0.0,0.0,5.448195537129414e-12,0.753148611824565,1.662255552244102e-11,0.0,6437.913785074596,7.222215741153234e-09,0.20590771298645602,7.222215741153234e-09,6437.913785074596,0.0,0.0,0.0
64,130,0.0,0.0,0.0,0.0,1.3448946313916052e-12,0.753148611824565,4.1033009057378084e-12,0.0,6631.051198626834,1.7915106349739889e-09,0.20088557364532297,1.7915106349739889e-09,6631.051198626834,0.0,0.0,0.0
65,131,0.0,0.0,0.0,0.0,3.319891067087076e-13,0.753148611824565,1.0129055246828976e-12,0.0,6829.982734585639,4.443941402825518e-10,0.1959859255076322,4.443941402825518e-10,6829.982734585639,0.0,0.0,0.0
