,age,inheritance,payment,principal,coupon,prob_survival,prob_dying,prob_death,TIPS,annuity_payment,annuity_cost,discount,annuity_purchase,annuity_benefit,total_cost,tips_cost,annuity_cost2,,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost
22,88,7659.483407,1000,926.0475617,8.612242324,0.515058459,0.06330149,0.034807324,0.0093,1916.103409,559.27649,0.566697238,0,0,12099.04651,7659.483407,4439.563106,,22,88,"$7,659","$1,000",$926.04756169,$8.61224232,51.51%,6.33%,3.48%,0.930000%,"$1,916",$559,56.7%,$0,$0,"$12,099","$7,659","$4,440",, -   , -   , -   , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , -   , 0 , -   , 0 
23,89,6733.435846,1000,934.659804,8.785802158,0.479489375,0.069058344,0.035569084,0.0094,1973.586511,523.1935565,0.552875354,0,0,11591.51146,6733.435846,4858.07561,,23,89,"$6,733","$1,000",$934.65980402,$8.78580216,47.95%,6.91%,3.56%,0.940000%,"$1,974",$523,55.3%,$0,$0,"$11,592","$6,733","$4,858",, -   , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
24,90,5798.776042,1000,943.4456062,8.962733259,0.443375492,0.075317379,0.036113883,0.0095,2032.794106,486.1479308,0.539390589,0,0,11147.69073,5798.776042,5348.914689,,24,90,"$5,799","$1,000",$943.44560617,$8.96273326,44.34%,7.53%,3.61%,0.950000%,"$2,033",$486,53.9%,$0,$0,"$11,148","$5,799","$5,349",, -   , -   , -   , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , -   , 0 , -   , 0 
25,91,4855.330436,1000,952.4083394,9.143120059,0.406966268,0.082118261,0.036409225,0.0096,2093.77793,448.4030216,0.526234721,0,0,10784.54055,4855.330436,5929.210119,,25,91,"$4,855","$1,000",$952.40833943,$9.14312006,40.70%,8.21%,3.64%,0.960000%,"$2,094",$448,52.6%,$0,$0,"$10,785","$4,855","$5,929",, -   , 0 , -   , 0 , 0 , 0 , (0), 0 , 0 , 0 , -   , 0 , -   , -   , 0 , 0 , 0 
26,92,3902.922096,1000,961.5514595,9.327049157,0.370541573,0.089502981,0.036424694,0.0097,2156.591268,410.2611735,0.513399728,0,0,10524.08048,3902.922096,6621.158387,,26,92,"$3,903","$1,000",$961.55145949,$9.32704916,37.05%,8.95%,3.64%,0.970000%,"$2,157",$410,51.3%,$0,$0,"$10,524","$3,903","$6,621",, -   , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
27,93,2941.370637,1000,970.8785086,9.514609385,0.334407908,0.097515819,0.036133665,0.0098,2221.289006,372.0603375,0.500877784,0,0,10395.19773,2941.370637,7453.827093,,27,93,"$2,941","$1,000",$970.87850865,$9.51460938,33.44%,9.75%,3.61%,0.980000%,"$2,221",$372,50.1%,$0,$0,"$10,395","$2,941","$7,454",, -   , 0 , -   , -   , 0 , 0 , (0), 0 , -   , 0 , 0 , -   , -   , -   , 0 , 0 , 0 
28,94,1970.492128,1000,980.393118,9.705891869,0.298892695,0.106203269,0.035515213,0.0099,2287.927676,334.1684904,0.488661252,0,0,10436.20591,1970.492128,8465.71378,,28,94,"$1,970","$1,000",$980.39311803,$9.70589187,29.89%,10.62%,3.55%,0.990000%,"$2,288",$334,48.9%,$0,$0,"$10,436","$1,970","$8,466",, -   , 0 , -   , 0 , (0), 0 , (0), (0), (0), 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
29,95,990.0990099,1000,990.0990099,9.900990099,0.26433654,0.115613916,0.034556155,0.01,2356.565506,296.9755917,0.476742685,0,0,10698.52188,990.0990099,9708.422873,,29,95,$990,"$1,000",$990.09900990,$9.90099010,26.43%,11.56%,3.46%,1.000000%,"$2,357",$297,47.7%,$0,$0,"$10,699",$990,"$9,708",, -   , -   , -   , -   , 0 , 0 , (0), 0 , -   , 0 , 0 , 0 , -   , -   , 0 , -   , 0 
30,96,0,0,0,0,0.23108347,0.125798234,0.03325307,0,2427.262471,260.8830091,0.465114815,260.8830091,2427.262471,0,0,0,,30,96,$0,$0,$0,$0.0000000,23.11%,12.58%,3.33%,0.00%,"$2,427",$261,46.5%,$261,"$2,427",,,,, -   , -   , -   , -   , -   , 0 , (0), 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
31,97,0,0,0,0,0.199469329,0.136808321,0.031614142,0,2500.080345,226.2905405,0.453770551,226.2905405,2500.080345,0,0,0,,31,97,$0,$0,$0,$0.0000000,19.95%,13.68%,3.16%,0.00%,"$2,500",$226,45.4%,$226,"$2,500",,,,, -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , -   , -   
